worker_id,ring_name,birthday,birthplace,height_cm,weight_kg,promotion,rating,votes,profile_url
3586,Hornswoggle,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=3586&gimmick=Hornswoggle
13179,Ilja Dragunov,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=13179&gimmick=Ilja+Dragunov
4657,Ivar,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=4657&gimmick=Ivar
22931,Ivy Nile,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=22931&gimmick=Ivy+Nile
9555,IYO SKY,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=9555&gimmick=IYO+SKY
19662,Izzi Dame,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=19662&gimmick=Izzi+Dame
29773,Jackie Redmond,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=29773&gimmick=Jackie+Redmond
14128,Jacob Fatu,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=14128&gimmick=Jacob+Fatu
273,Jacqueline,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=273&gimmick=Jacqueline
21368,Jacy Jayne,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=21368&gimmick=Jacy+Jayne
23445,Jade Cargill,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=23445&gimmick=Jade+Cargill
26972,Jaida Parker,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=26972&gimmick=Jaida+Parker
31605,Jamar Hampton,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=31605&gimmick=Jamar+Hampton
729,Jamie Noble,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=729&gimmick=Jamie+Noble
14913,Jason Ayers,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=14913&gimmick=Jason+Ayers
11408,Jason Jordan,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=11408&gimmick=Jason+Jordan
29663,Jasper Troy,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=29663&gimmick=Jasper+Troy
32258,Jax Presley,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=32258&gimmick=Jax+Presley
27608,Jazmyn Nyx,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=27608&gimmick=Jazmyn+Nyx
13129,JC Mateo,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=13129&gimmick=JC+Mateo
4736,JD McDonagh,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=4736&gimmick=JD+McDonagh
26930,Je'Von Evans,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=26930&gimmick=Je'Von+Evans
1121,Jeremy Borash,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=1121&gimmick=Jeremy+Borash
937,Jerry Lawler,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=937&gimmick=Jerry+Lawler
53,Jesse Ventura,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=53&gimmick=Jesse+Ventura
13435,Jessika Carr,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=13435&gimmick=Jessika+Carr
7350,Jey Uso,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=7350&gimmick=Jey+Uso
1107,Jim Duggan,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=1107&gimmick=Jim+Duggan
7351,Jimmy Uso,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=7351&gimmick=Jimmy+Uso
30978,Jin Tala,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=30978&gimmick=Jin+Tala
2172,Joaquin Wilde,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=2172&gimmick=Joaquin+Wilde
6695,Joe Gacy,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=6695&gimmick=Joe+Gacy
29023,Joe Tessitore,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=29023&gimmick=Joe+Tessitore
691,John Cena,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=691&gimmick=John+Cena
5707,John Cone,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=5707&gimmick=John+Cone
193,John Layfield,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=193&gimmick=John+Layfield
4129,Johnny Gargano,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=4129&gimmick=Johnny+Gargano
4316,Johnny Moss,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=4316&gimmick=Johnny+Moss
14365,Jordynne Grace,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=14365&gimmick=Jordynne+Grace
989,Joseph Park,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=989&gimmick=Joseph+Park
19011,Josh Briggs,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=19011&gimmick=Josh+Briggs
24303,Julius Creed,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=24303&gimmick=Julius+Creed
11958,Kairi Sane,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=11958&gimmick=Kairi+Sane
27129,Kale Dixon,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=27129&gimmick=Kale+Dixon
30345,Kali Armstrong,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=30345&gimmick=Kali+Armstrong
379,Kane,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=379&gimmick=Kane
27269,Karmen Petrovic,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=27269&gimmick=Karmen+Petrovic
28178,Keanu Carver,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=28178&gimmick=Keanu+Carver
27130,Kelani Jordan,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=27130&gimmick=Kelani+Jordan
3584,Kelly Kelly,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=3584&gimmick=Kelly+Kelly
23342,Kelly Kincaid,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=23342&gimmick=Kelly+Kincaid
1195,Ken Doane,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=1195&gimmick=Ken+Doane
149,Ken Shamrock,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=149&gimmick=Ken+Shamrock
29132,Kendal Grey,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=29132&gimmick=Kendal+Grey
429,Kevin Nash,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=429&gimmick=Kevin+Nash
1499,Kevin Owens,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=1499&gimmick=Kevin+Owens
25036,Kiana James,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=25036&gimmick=Kiana+James
17081,Kit Wilson,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=17081&gimmick=Kit+Wilson
3687,Kofi Kingston,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=3687&gimmick=Kofi+Kingston
57,Koko B. Ware,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=57&gimmick=Koko+B.+Ware
4409,LA Knight,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=4409&gimmick=LA+Knight
28835,Lainey Reid,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=28835&gimmick=Lainey+Reid
13845,Lana,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=13845&gimmick=Lana
12419,Lance Anoa'i,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=12419&gimmick=Lance+Anoa'i
24835,Lash Legend,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=24835&gimmick=Lash+Legend
29228,Layla Diggs,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=29228&gimmick=Layla+Diggs
20065,Lexis King,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=20065&gimmick=Lexis+King
